"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"All census metropolitan areas and census agglomerations, Canada","25,121,190","25,464,948","25,745,344","26,035,077","26,332,444","26,666,157","26,972,594","27,313,943","27,682,785","28,039,359","28,365,332","28,733,706","29,086,709","29,425,513","29,680,350","30,059,970","30,482,398","30,979,142","31,485,410","31,869,048"
"All census metropolitan areas, Canada","21,174,905","21,500,787","21,753,380","22,011,568","22,277,962","22,584,463","22,857,870","23,163,156","23,502,329","23,827,855","24,124,407","24,454,805","24,776,585","25,084,157","25,315,512","25,660,482","26,044,849","26,495,277","26,959,203","27,306,305"
"St. John's (CMA), Newfoundland and Labrador","176,468","177,626","179,026","181,059","181,720","183,847","186,173","189,575","193,867","198,553","202,376","204,537","206,257","208,228","209,191","211,003","212,144","212,344","213,204","214,014"
"Halifax (CMA), Nova Scotia","369,252","374,445","378,091","380,752","381,940","384,658","386,402","389,919","393,688","398,356","402,074","404,376","405,598","407,061","408,017","414,015","421,713","429,895","439,529","448,544"
"Moncton (CMA), New Brunswick","123,093","124,560","126,103","127,702","128,823","130,507","132,060","133,860","136,211","138,425","140,698","142,871","144,217","145,708","146,367","148,467","150,438","152,560","155,870","158,695"
"Saint John (CMA), New Brunswick","127,363","127,031","126,858","126,702","126,186","126,151","126,700","127,554","128,691","129,425","129,927","129,755","129,196","128,543","128,282","128,926","129,483","130,250","131,050","131,772"
"Saguenay (CMA), Quebec","162,956","161,506","160,394","159,504","158,483","158,043","158,111","158,707","158,938","159,636","160,290","161,168","161,452","161,387","161,381","161,450","161,694","162,064","162,551","163,354"
"Québec (CMA), Quebec","705,206","710,234","714,530","718,698","723,340","729,611","738,487","748,407","758,345","768,374","777,938","783,796","789,275","794,411","799,046","804,875","810,125","816,931","825,150","832,328"
"Sherbrooke (CMA), Quebec","183,635","185,727","188,063","189,931","191,580","193,295","194,838","196,418","198,786","201,680","204,653","206,677","208,523","209,930","210,873","213,344","215,386","218,126","221,311","224,557"
"Trois-Rivières (CMA), Quebec","143,386","143,127","143,480","144,012","144,645","145,685","147,126","148,502","150,112","151,903","153,200","153,902","154,391","155,188","155,679","156,813","158,181","159,170","160,864","163,287"
"Montréal (CMA), Quebec","3,626,699","3,663,840","3,693,579","3,725,738","3,754,003","3,787,447","3,820,627","3,859,334","3,907,597","3,953,773","3,994,492","4,031,655","4,066,332","4,093,501","4,109,712","4,140,425","4,193,207","4,264,846","4,333,041","4,364,189"
"Ottawa - Gatineau (CMA), Ontario/Quebec","1,127,684","1,144,036","1,159,243","1,170,640","1,181,489","1,189,979","1,205,632","1,225,487","1,246,116","1,268,687","1,288,388","1,303,562","1,315,160","1,326,612","1,337,305","1,358,100","1,384,897","1,411,032","1,438,083","1,461,494"
"Ottawa - Gatineau (CMA), Ontario part, Ontario","854,593","867,412","877,683","884,435","891,423","896,678","907,573","921,850","936,513","952,773","966,571","978,709","988,064","997,494","1,006,491","1,023,678","1,047,447","1,069,895","1,092,305","1,111,773"
"Ottawa - Gatineau (CMA), Quebec part, Quebec","273,091","276,624","281,560","286,205","290,066","293,301","298,059","303,637","309,603","315,914","321,817","324,853","327,096","329,118","330,814","334,422","337,450","341,137","345,778","349,721"
"Kingston (CMA), Ontario","152,761","154,796","156,300","157,133","157,347","158,214","158,849","160,029","161,564","163,013","164,287","164,353","163,807","164,019","164,334","166,004","169,487","172,702","174,780","176,184"
"Belleville (CMA), Ontario","99,908","101,013","101,563","102,621","103,490","104,194","104,664","104,767","104,515","104,415","104,360","104,718","104,816","105,079","105,416","106,282","107,922","109,626","111,165","112,980"
"Peterborough (CMA), Ontario","115,316","116,673","117,799","118,722","119,775","120,631","120,672","121,059","121,064","121,921","122,159","122,458","122,909","122,705","123,158","124,845","127,162","130,256","131,065","131,939"
"Oshawa (CMA), Ontario","308,611","315,181","322,922","330,515","337,654","344,313","347,901","352,767","357,274","362,506","367,052","372,288","376,783","380,948","385,258","391,942","398,742","405,765","414,422","423,036"
"Toronto (CMA), Ontario","4,882,618","5,002,533","5,081,464","5,162,061","5,241,407","5,334,382","5,415,765","5,501,325","5,588,312","5,681,126","5,768,001","5,852,841","5,931,697","5,998,737","6,045,240","6,125,013","6,217,328","6,337,780","6,462,770","6,555,205"
"Hamilton (CMA), Ontario","689,178","697,790","705,420","712,186","717,717","719,331","721,376","725,665","730,354","736,875","741,956","747,678","752,450","756,928","761,279","768,982","777,572","785,214","795,176","804,691"
"St. Catharines - Niagara (CMA), Ontario","391,844","394,502","396,817","399,702","401,750","404,032","402,845","401,785","401,517","402,182","402,623","404,504","405,870","407,835","410,971","416,384","422,407","428,383","434,090","437,114"
"Kitchener - Cambridge - Waterloo (CMA), Ontario","446,937","455,446","462,451","471,321","479,252","488,325","492,486","497,508","501,631","506,907","512,547","517,359","521,494","525,299","530,170","542,034","553,526","567,853","581,954","593,882"
"Brantford (CMA), Ontario","128,519","129,761","131,352","132,978","134,868","135,499","136,502","136,995","137,724","138,488","139,372","139,847","140,675","141,413","142,287","143,871","145,652","147,361","149,462","151,566"
"Guelph (CMA), Ontario","128,494","130,572","132,588","134,836","137,200","139,303","140,239","141,550","142,773","144,324","145,634","147,971","149,597","151,684","153,679","157,088","159,996","162,574","165,053","167,509"
"London (CMA), Ontario","453,101","458,659","462,722","467,560","471,563","475,886","478,557","481,970","483,908","486,555","489,086","491,868","494,151","497,055","500,624","509,009","520,146","532,421","542,349","551,066"
"Windsor (CMA), Ontario","320,950","326,732","330,416","333,413","335,398","336,314","335,457","332,569","329,634","328,520","328,295","329,971","334,502","336,369","336,222","337,194","340,999","348,304","352,962","356,880"
"Barrie (CMA), Ontario","155,328","161,575","167,800","173,647","179,259","184,452","186,501","188,167","189,558","191,021","192,639","194,450","196,369","198,231","199,869","203,254","206,729","210,098","214,391","218,188"
"Greater Sudbury (CMA), Ontario","164,210","163,810","164,213","164,622","165,278","166,751","167,308","168,016","168,148","167,687","167,609","168,205","168,671","168,522","168,602","169,136","169,578","171,452","171,982","172,462"
"Thunder Bay (CMA), Ontario","126,696","126,776","127,369","127,619","127,570","127,090","125,977","125,440","125,043","125,157","124,926","125,031","125,099","125,097","124,719","124,840","125,535","126,095","126,585","126,861"
"Winnipeg (CMA), Manitoba","695,830","699,855","703,975","709,714","712,268","716,043","719,269","722,848","729,444","736,073","745,774","757,053","766,503","776,923","785,860","801,177","817,603","831,823","844,165","850,056"
"Regina (CMA), Saskatchewan","198,077","197,876","198,853","199,806","199,943","201,093","203,144","206,077","210,464","214,480","218,657","225,232","231,044","235,876","239,403","245,228","251,167","256,317","260,865","263,184"
"Saskatoon (CMA), Saskatchewan","232,516","234,263","235,867","238,203","239,696","241,931","246,052","251,481","257,960","264,665","271,728","280,765","287,960","294,216","299,349","307,367","315,702","323,148","330,429","336,614"
"Lethbridge (CMA), Alberta","89,689","91,403","92,924","94,394","96,150","98,666","101,924","104,329","106,433","108,493","109,774","111,288","113,439","116,088","118,428","120,987","122,403","124,687","126,917","128,851"
"Calgary (CMA), Alberta","977,775","1,007,032","1,028,587","1,051,686","1,085,764","1,124,723","1,155,560","1,187,476","1,220,700","1,240,521","1,263,935","1,300,292","1,344,686","1,386,828","1,414,010","1,438,160","1,458,336","1,483,528","1,514,029","1,543,283"
"Edmonton (CMA), Alberta","962,390","984,764","1,001,160","1,017,462","1,042,421","1,074,031","1,104,317","1,131,781","1,163,333","1,183,929","1,205,342","1,234,307","1,271,773","1,312,214","1,338,092","1,364,394","1,390,149","1,415,351","1,442,805","1,468,926"
"Kelowna (CMA), British Columbia","154,210","156,041","158,495","161,221","163,765","167,123","170,995","175,162","178,330","181,435","183,619","186,137","189,130","193,259","198,305","203,999","208,476","213,831","218,454","222,748"
"Abbotsford - Mission (CMA), British Columbia","153,905","155,184","156,739","159,256","161,332","164,477","166,354","168,561","170,762","172,753","174,304","176,526","178,496","180,615","183,864","189,040","193,390","198,060","202,432","204,265"
"Vancouver (CMA), British Columbia","2,074,568","2,098,557","2,116,185","2,134,020","2,159,646","2,188,743","2,216,948","2,253,672","2,301,469","2,344,847","2,374,642","2,418,938","2,459,426","2,507,414","2,544,484","2,582,202","2,616,908","2,658,590","2,706,793","2,737,698"
"Victoria (CMA), British Columbia","325,732","327,861","330,032","332,132","335,240","339,693","342,052","344,394","348,064","351,150","352,050","358,426","364,837","370,234","376,036","384,632","390,666","396,840","403,455","408,883"
"All census agglomerations, Canada","3,946,285","3,964,161","3,991,964","4,023,509","4,054,482","4,081,694","4,114,724","4,150,787","4,180,456","4,211,504","4,240,925","4,278,901","4,310,124","4,341,356","4,364,838","4,399,488","4,437,549","4,483,865","4,526,207","4,562,743"
"Bay Roberts (CA), Newfoundland and Labrador","10,692","10,681","10,685","10,727","10,696","10,622","10,605","10,694","10,833","10,989","11,069","11,070","11,087","11,154","11,227","11,284","11,337","11,271","11,209","11,182"
"Grand Falls-Windsor (CA), Newfoundland and Labrador","13,611","13,669","13,768","13,772","13,718","13,693","13,605","13,609","13,743","13,885","13,973","14,068","14,124","14,286","14,341","14,421","14,384","14,354","14,283","14,250"
"Gander (CA), Newfoundland and Labrador","11,468","11,548","11,674","11,714","11,700","11,770","11,907","12,345","12,459","12,713","12,938","13,142","13,214","13,310","13,418","13,507","13,606","13,631","13,502","13,448"
"Corner Brook (CA), Newfoundland and Labrador","31,056","30,955","31,048","31,199","31,408","31,362","31,340","31,342","31,595","31,810","32,009","32,098","32,348","32,333","32,397","32,498","32,360","32,124","32,037","31,936"
"Charlottetown (CA), Prince Edward Island","59,815","60,049","60,345","60,708","61,050","61,454","61,591","62,433","63,777","65,292","67,616","68,188","68,159","68,692","69,480","71,533","74,485","76,649","79,092","80,347"
"Summerside (CA), Prince Edward Island","16,424","16,454","16,478","16,511","16,486","16,371","16,473","16,591","16,631","16,788","16,858","17,009","17,048","16,970","16,909","16,955","17,103","17,493","17,831","18,042"
"Kentville (CA), Nova Scotia","25,862","25,983","26,195","26,382","26,564","26,650","26,594","26,673","26,763","26,856","26,933","27,010","26,812","26,774","26,639","26,754","27,015","27,511","27,815","28,196"
"Truro (CA), Nova Scotia","45,522","45,791","46,092","46,266","46,275","46,226","46,297","46,484","46,790","46,802","46,913","46,929","46,733","46,463","46,323","46,588","46,497","46,629","46,859","47,031"
"New Glasgow (CA), Nova Scotia","37,734","37,550","37,570","37,547","37,455","37,172","36,765","36,571","36,594","36,621","36,574","36,303","35,957","35,661","35,282","35,053","34,958","34,863","34,843","34,897"
"Cape Breton (CA), Nova Scotia","112,044","110,942","110,373","110,397","109,020","108,217","106,827","105,817","105,057","104,473","103,646","103,122","102,265","101,593","100,697","100,359","99,638","99,553","101,014","100,711"
"Fredericton (CA), New Brunswick","88,455","89,437","90,235","90,978","91,498","92,589","93,391","94,586","96,273","97,869","99,338","100,362","101,494","102,122","102,896","104,387","106,034","107,761","109,753","111,024"
"Bathurst (CA), New Brunswick","34,433","34,050","33,733","33,458","33,230","32,998","32,735","32,509","32,367","32,235","31,973","31,952","31,834","31,675","31,673","31,688","31,650","31,597","31,682","31,691"
"Miramichi (CA), New Brunswick","30,500","30,250","30,065","29,899","29,692","29,328","29,054","28,768","28,503","28,383","28,149","28,216","28,168","28,132","28,004","28,033","27,965","27,894","27,935","27,997"
"Edmundston (CA), New Brunswick","25,692","25,581","25,368","25,214","24,993","24,438","24,295","24,141","24,023","23,973","23,891","24,000","23,894","23,895","23,915","23,963","23,996","23,960","23,895","23,778"
"Campbellton (CA), New Brunswick/Quebec","18,676","18,376","18,252","18,013","17,873","17,683","17,592","17,531","17,463","17,425","17,367","17,127","16,880","16,648","16,509","16,274","16,180","16,076","15,979","15,901"
"Campbellton (CA), New Brunswick part, New Brunswick","15,668","15,372","15,240","14,998","14,816","14,592","14,444","14,325","14,187","14,105","14,040","13,860","13,689","13,538","13,473","13,356","13,259","13,126","13,013","12,925"
"Campbellton (CA), Quebec part, Quebec","3,008","3,004","3,012","3,015","3,057","3,091","3,148","3,206","3,276","3,320","3,327","3,267","3,191","3,110","3,036","2,918","2,921","2,950","2,966","2,976"
"Matane (CA), Quebec","19,203","18,997","18,811","18,748","18,672","18,792","18,763","18,726","18,575","18,512","18,459","18,458","18,325","18,186","17,968","17,986","17,923","17,795","17,669","17,626"
"Rimouski (CA), Quebec","51,708","51,642","51,781","51,855","51,897","52,039","52,360","52,793","53,008","53,482","54,236","54,645","54,773","55,108","55,343","55,558","55,658","55,785","56,161","56,394"
"Rivière-du-Loup (CA), Quebec","26,666","26,765","27,008","27,249","27,526","27,825","28,244","28,449","28,770","28,977","29,221","29,169","29,299","29,203","29,024","29,004","29,237","29,459","29,630","29,737"
"Baie-Comeau (CA), Quebec","30,503","30,169","30,076","30,014","29,748","29,494","29,220","28,870","28,788","28,640","28,690","28,749","28,640","28,463","28,113","27,725","27,542","27,179","26,966","26,776"
"Alma (CA), Quebec","32,758","32,667","32,338","32,282","32,112","32,076","32,163","32,485","32,746","33,005","33,268","33,266","33,218","33,162","33,008","32,934","32,911","32,784","32,918","33,014"
"Dolbeau-Mistassini (CA), Quebec","16,654","16,453","16,246","16,167","16,189","16,109","15,966","15,977","16,017","15,869","15,910","15,915","15,863","15,813","15,726","15,648","15,518","15,541","15,462","15,427"
"Sept-Îles (CA), Quebec","28,114","27,808","27,774","27,913","27,936","28,059","28,143","28,291","28,385","28,463","28,805","28,993","29,184","29,175","28,842","28,584","28,325","28,300","28,156","28,208"
"Sainte-Marie (CA), Quebec","11,551","11,609","11,574","11,645","11,583","11,701","11,963","12,193","12,513","12,785","13,024","13,131","13,370","13,480","13,613","13,621","13,740","13,815","13,615","13,265"
"Saint-Georges (CA), Quebec","28,729","28,971","29,108","29,388","29,651","29,915","30,178","30,462","30,787","31,084","31,519","31,778","31,965","32,210","32,476","32,666","32,851","33,259","33,519","33,678"
"Thetford Mines (CA), Quebec","29,858","29,579","29,241","29,417","29,278","29,136","28,947","28,866","28,941","28,949","29,077","28,933","28,768","28,630","28,479","28,500","28,647","28,731","28,697","28,878"
"Cowansville (CA), Quebec","12,314","12,313","12,406","12,382","12,378","12,264","12,272","12,332","12,360","12,396","12,613","12,862","13,105","13,313","13,460","13,740","14,047","14,284","14,660","15,017"
"Victoriaville (CA), Quebec","42,040","42,390","42,847","42,982","43,164","43,536","44,264","44,981","45,455","46,041","46,819","47,383","47,896","48,545","48,841","49,312","49,662","50,172","50,462","50,779"
"Shawinigan (CA), Quebec","56,991","56,473","56,338","56,333","56,258","56,176","56,128","55,860","55,471","55,145","54,775","54,671","54,610","54,481","54,261","54,293","54,265","54,314","54,458","54,940"
"Drummondville (CA), Quebec","82,058","82,594","83,647","84,569","85,688","86,487","87,308","88,621","89,795","90,964","92,158","93,060","93,889","94,717","95,527","96,594","97,851","98,817","99,738","100,821"
"Granby (CA), Quebec","70,890","71,745","72,652","73,534","74,651","75,560","76,543","77,479","78,667","80,316","81,660","82,450","83,264","83,988","84,545","85,430","86,523","87,570","88,843","90,459"
