"Geography","2016","2017","2018","2019","2020"
"Division No. 1, Newfoundland and Labrador","276,388","276,974","276,607","276,714","276,883"
"Division No. 2, Newfoundland and Labrador","20,657","20,332","19,976","19,702","19,485"
"Division No. 3, Newfoundland and Labrador","15,734","15,461","15,235","14,988","14,821"
"Division No. 4, Newfoundland and Labrador","20,714","20,571","20,233","20,014","19,911"
"Division No. 5, Newfoundland and Labrador","42,770","42,627","42,408","42,244","42,105"
"Division No. 6, Newfoundland and Labrador","38,884","38,797","38,615","38,270","38,083"
"Division No. 7, Newfoundland and Labrador","34,465","34,222","33,921","33,546","33,247"
"Division No. 8, Newfoundland and Labrador","36,211","35,826","35,417","35,159","34,968"
"Division No. 9, Newfoundland and Labrador","15,789","15,613","15,453","15,161","14,926"
"Division No. 10, Newfoundland and Labrador","25,197","25,160","25,019","25,012","25,016"
"Division No. 11, Newfoundland and Labrador","2,617","2,666","2,676","2,666","2,658"
"Kings, Prince Edward Island","17,716","17,863","17,906","18,291","18,734"
"Queens, Prince Edward Island","84,545","87,421","89,868","92,591","94,110"
"Prince, Prince Edward Island","44,708","45,118","45,622","46,380","46,781"
"Shelburne, Nova Scotia","14,207","14,150","14,032","13,926","13,838"
"Yarmouth, Nova Scotia","24,836","24,867","24,887","24,830","24,861"
"Digby, Nova Scotia","17,589","17,595","17,437","17,433","17,423"
"Queens, Nova Scotia","10,485","10,370","10,339","10,343","10,402"
"Annapolis, Nova Scotia","20,913","21,185","21,352","21,493","21,609"
"Lunenburg, Nova Scotia","47,885","48,045","48,103","48,141","48,318"
"Kings, Nova Scotia","61,705","62,044","62,463","62,604","62,846"
"Hants, Nova Scotia","43,330","43,408","43,540","43,583","43,654"
"Halifax, Nova Scotia","414,008","421,705","429,888","439,510","448,518"
"Colchester, Nova Scotia","51,492","51,414","51,530","51,715","51,886"
"Cumberland, Nova Scotia","30,440","30,399","30,300","30,181","30,140"
"Pictou, Nova Scotia","44,437","44,270","44,123","44,127","44,198"
"Guysborough, Nova Scotia","7,709","7,607","7,484","7,442","7,422"
"Antigonish, Nova Scotia","19,630","19,679","19,743","19,899","20,145"
"Inverness, Nova Scotia","17,480","17,470","17,362","17,343","17,298"
"Richmond, Nova Scotia","9,094","9,100","9,127","9,086","9,066"
"Cape Breton, Nova Scotia","100,367","99,647","99,564","101,019","100,708"
"Victoria, Nova Scotia","7,183","7,153","7,132","7,072","7,019"
"Saint John, New Brunswick","75,705","76,218","76,888","77,491","77,921"
"Charlotte, New Brunswick","25,911","25,938","25,933","25,982","26,032"
