,Geography,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,city_name,lat,lon,diff_2002,diff_2003,diff_2004,diff_2005,diff_2006,diff_2007,diff_2008,diff_2009,diff_2010,diff_2011,diff_2012,diff_2013,diff_2014,diff_2015,diff_2016,diff_2017,diff_2018,diff_2019,scaled_diff_2002,scaled_diff_2003,scaled_diff_2004,scaled_diff_2005,scaled_diff_2006,scaled_diff_2007,scaled_diff_2008,scaled_diff_2009,scaled_diff_2010,scaled_diff_2011,scaled_diff_2012,scaled_diff_2013,scaled_diff_2014,scaled_diff_2015,scaled_diff_2016,scaled_diff_2017,scaled_diff_2018,scaled_diff_2019,color_spec_2002,color_spec_2003,color_spec_2004,color_spec_2005,color_spec_2006,color_spec_2007,color_spec_2008,color_spec_2009,color_spec_2010,color_spec_2011,color_spec_2012,color_spec_2013,color_spec_2014,color_spec_2015,color_spec_2016,color_spec_2017,color_spec_2018,color_spec_2019
2,"St. John's (CMA), Newfoundland and Labrador",176468,177626,179026,181059,181720,183847,186173,189575,193867,198553,202376,204537,206257,208228,209191,211003,212144,212344,213204,214014,"St. John's, Newfoundland and Labrador",47.5615096,-52.7125768,1158,1400,2033,661,2127,2326,3402,4292,4686,3823,2161,1720,1971,963,1812,1141,200,860,0.009264741179294343,0.011200896071685736,0.016265301224097927,0.005288423073845907,0.017017361388911113,0.018609488759100727,0.027218177454196336,0.03433874709976798,0.03749099927994239,0.03058644691575326,0.017289383150652052,0.013761100888071046,0.015769261540923275,0.007704616369309545,0.014497159772781822,0.009128730298423874,0.0016001280102408192,0.006880550444035523,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
3,"Halifax (CMA), Nova Scotia",369252,374445,378091,380752,381940,384658,386402,389919,393688,398356,402074,404376,405598,407061,408017,414015,421713,429895,439529,448544,"Halifax, Nova Scotia",44.64876350000001,-63.5752387,5193,3646,2661,1188,2718,1744,3517,3769,4668,3718,2302,1222,1463,956,5998,7698,8182,9634,0.041547323785902875,0.029170333626690133,0.0212897031762541,0.009504760380830467,0.021745739659172734,0.013953116249299943,0.028138251060084808,0.030154412352988238,0.03734698775902072,0.02974637971037683,0.01841747339787183,0.009776782142571406,0.011704936394911592,0.007648611888951116,0.04798783902712217,0.061588927114169134,0.06546123689895192,0.07707816625330026,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]"
4,"Moncton (CMA), New Brunswick",123093,124560,126103,127702,128823,130507,132060,133860,136211,138425,140698,142871,144217,145708,146367,148467,150438,152560,155870,158695,"Moncton, New Brunswick",46.0878165,-64.7782313,1467,1543,1599,1121,1684,1553,1800,2351,2214,2273,2173,1346,1491,659,2100,1971,2122,3310,0.01173693895511641,0.012344987599007921,0.01279302344187535,0.008968717497399793,0.013473077846227699,0.012424993999519962,0.014401152092167373,0.01880950476038083,0.017713417073365868,0.01818545483638691,0.0173853908312665,0.010768861508920714,0.011928954316345308,0.005272421793743499,0.016801344107528603,0.015769261540923275,0.016977358188655093,0.02648211856948556,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
5,"Saint John (CMA), New Brunswick",127363,127031,126858,126702,126186,126151,126700,127554,128691,129425,129927,129755,129196,128543,128282,128926,129483,130250,131050,131772,"Saint John, New Brunswick",45.2733153,-66.06330799999999,-332,-173,-156,-516,-35,549,854,1137,734,502,-172,-559,-653,-261,644,557,767,800,-0.00265621249699976,-0.0013841107288583086,-0.001248099847987839,-0.004128330266421313,-0.0002800224017921434,0.004392351388111049,0.006832546603728298,0.009096727738219058,0.005872469797583807,0.004016321305704456,-0.0013761100888071045,-0.00447235778862309,-0.005224417953436275,-0.0020881670533642693,0.005152412192975438,0.004456356508520682,0.0061364909192735415,0.006400512040963277,"[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
6,"Saguenay (CMA), Quebec",162956,161506,160394,159504,158483,158043,158111,158707,158938,159636,160290,161168,161452,161387,161381,161450,161694,162064,162551,163354,"Saguenay, Quebec",48.4280529,-71.0684923,-1450,-1112,-890,-1021,-440,68,596,231,698,654,878,284,-65,-6,69,244,370,487,-0.01160092807424594,-0.008896711736938956,-0.007120569645571646,-0.008168653492279382,-0.0035202816225298026,0.0005440435234818785,0.004768381470517642,0.0018481478518281463,0.00558444675574046,0.005232418593487479,0.007024561964957197,0.0022721817745419634,-0.0005200416033282663,-4.8003840307224575e-05,0.0005520441635330826,0.0019521561724937994,0.0029602368189455158,0.003896311704936395,"[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[255, 203, 202]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
7,"Québec (CMA), Quebec",705206,710234,714530,718698,723340,729611,738487,748407,758345,768374,777938,783796,789275,794411,799046,804875,810125,816931,825150,832328,"Québec, Quebec",46.8138783,-71.2079809,5028,4296,4168,4642,6271,8876,9920,9938,10029,9564,5858,5479,5136,4635,5829,5250,6806,8219,0.0402272181774542,0.0343707496599728,0.033346667733418676,0.037138971117689414,0.050172013761100885,0.07101368109448757,0.07936634930794463,0.07951036082886631,0.08023841907352589,0.07651812144971598,0.04686774941995359,0.043835506840547246,0.04109128730298424,0.03708296663733099,0.04663573085846868,0.0420033602688215,0.05445235618849508,0.06575726058084647,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[118, 236, 118]","[118, 236, 118]"
8,"Sherbrooke (CMA), Quebec",183635,185727,188063,189931,191580,193295,194838,196418,198786,201680,204653,206677,208523,209930,210873,213344,215386,218126,221311,224557,"Sherbrooke, Quebec",45.4041718,-71.8929107,2092,2336,1868,1649,1715,1543,1580,2368,2894,2973,2024,1846,1407,943,2471,2042,2740,3185,0.01673733898711897,0.018689495159612768,0.014945195615649252,0.013193055444435555,0.013721097687815025,0.012344987599007921,0.012641011280902472,0.0189455156412513,0.023153852308184654,0.02378590287222978,0.01619329546363709,0.014769181534522762,0.011256900552044164,0.0075446035682854625,0.01976958156652532,0.016337306984558764,0.021921753740299223,0.025482038563085046,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
9,"Trois-Rivières (CMA), Quebec",143386,143127,143480,144012,144645,145685,147126,148502,150112,151903,153200,153902,154391,155188,155679,156813,158181,159170,160864,163287,"Trois-Rivières, Quebec",46.34298200000001,-72.5420716,-259,353,532,633,1040,1441,1376,1610,1791,1297,702,489,797,491,1134,1368,989,1694,-0.0020721657732618607,0.002824225938075046,0.004256340507240579,0.005064405152412193,0.008320665653252261,0.011528922313785103,0.011008880710456836,0.012881030482438596,0.014329146331706536,0.010376830146411713,0.005616449315945276,0.003912312985038803,0.0063765101208096645,0.0039283142651412115,0.009072725818065445,0.010944875590047204,0.007912633010640852,0.01355308424673974,"[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
10,"Montréal (CMA), Quebec",3626699,3663840,3693579,3725738,3754003,3787447,3820627,3859334,3907597,3953773,3994492,4031655,4066332,4093501,4109712,4140425,4193207,4264846,4333041,4364189,"Montréal, Quebec",45.5016889,-73.567256,37141,29739,32159,28265,33444,33180,38707,48263,46176,40719,37163,34677,27169,16211,30713,52782,71639,68195,0.29715177214177135,0.23793103448275862,0.25729258340667255,0.22613809104728377,0.2675734058724698,0.2654612368989519,0.30968077446195696,0.3861348907912633,0.36943755500440034,0.32577806224497957,0.29732778622289785,0.27743819505560446,0.21736938955116408,0.1296983758700696,0.2457236578926314,0.4222897831826546,0.5731578526282103,0.5456036482918634,"[65, 236, 65]","[79, 235, 79]","[79, 235, 79]","[79, 235, 79]","[65, 236, 65]","[65, 236, 65]","[65, 236, 65]","[38, 236, 38]","[38, 236, 38]","[52, 236, 52]","[65, 236, 65]","[65, 236, 65]","[79, 235, 79]","[105, 236, 105]","[79, 235, 79]","[24, 237, 24]","[13, 221, 13]","[13, 221, 13]"
11,"Ottawa - Gatineau (CMA), Ontario/Quebec",1127684,1144036,1159243,1170640,1181489,1189979,1205632,1225487,1246116,1268687,1288388,1303562,1315160,1326612,1337305,1358100,1384897,1411032,1438083,1461494,"Ottawa - Gatineau, Ontario/Quebec",45.4765446,-75.7012723,16352,15207,11397,10849,8490,15653,19855,20629,22571,19701,15174,11598,11452,10693,20795,26797,26135,27051,0.13082646611728938,0.12166573325866069,0.09118329466357308,0.08679894391551324,0.06792543403472277,0.12523401872149773,0.15885270821665734,0.1650452036162893,0.18058244659572767,0.1576206096487719,0.12140171213697096,0.09279142331386511,0.09162332986638931,0.0855508440675254,0.16637330986478918,0.21439315145211618,0.20909672773821905,0.21642531402512202,"[105, 236, 105]","[105, 236, 105]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[105, 236, 105]","[92, 235, 92]","[92, 235, 92]","[92, 235, 92]","[105, 236, 105]","[105, 236, 105]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[92, 235, 92]","[79, 235, 79]","[92, 235, 92]","[79, 235, 79]"
12,"Ottawa - Gatineau (CMA), Ontario part, Ontario",854593,867412,877683,884435,891423,896678,907573,921850,936513,952773,966571,978709,988064,997494,1006491,1023678,1047447,1069895,1092305,1111773,"Ottawa - Gatineau, Ontario part, Ontario",45.4765446,-75.7012723,12819,10271,6752,6988,5255,10895,14277,14663,16260,13798,12138,9355,9430,8997,17187,23769,22448,22410,0.10256020481638531,0.08217457396591728,0.05402032162573006,0.05590847267781422,0.04204336346907753,0.08716697335786863,0.11422513801104088,0.11731338507080566,0.13009040723257861,0.11039283142651413,0.09711176894151533,0.07484598767901432,0.07544603568285463,0.07198175854068325,0.1375070005600448,0.19016721337707015,0.17959836786942956,0.1792943435474838,"[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[131, 237, 131]","[118, 236, 118]","[105, 236, 105]","[105, 236, 105]","[105, 236, 105]","[105, 236, 105]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[105, 236, 105]","[92, 235, 92]","[92, 235, 92]","[92, 235, 92]"
13,"Ottawa - Gatineau (CMA), Quebec part, Quebec",273091,276624,281560,286205,290066,293301,298059,303637,309603,315914,321817,324853,327096,329118,330814,334422,337450,341137,345778,349721,"Ottawa - Gatineau, Quebec part, Quebec",45.4765446,-75.7012723,3533,4936,4645,3861,3235,4758,5578,5966,6311,5903,3036,2243,2022,1696,3608,3028,3687,4641,0.028266261300904073,0.03949115929274342,0.03716297303784303,0.030890471237699016,0.025882070565645253,0.03806704536362909,0.04462757020561645,0.04773181854548364,0.050492039363149055,0.04722777822225778,0.024289943195455636,0.01794543563485079,0.016177294183534682,0.013569085526842148,0.02886630930474438,0.024225938075046003,0.029498359868789504,0.03713097047763821,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
14,"Kingston (CMA), Ontario",152761,154796,156300,157133,157347,158214,158849,160029,161564,163013,164287,164353,163807,164019,164334,166004,169487,172702,174780,176184,"Kingston, Ontario",44.2311717,-76.4859544,2035,1504,833,214,867,635,1180,1535,1449,1274,66,-546,212,315,1670,3483,3215,2078,0.016281302504200335,0.01203296263701096,0.006664533162653012,0.0017121369709576766,0.006936554924393951,0.005080406432514601,0.009440755260420835,0.012280982478598287,0.011592927434194735,0.010192815425234019,0.0005280422433794704,-0.004368349467957436,0.0016961356908552685,0.0025202016161292905,0.01336106888551084,0.027866229298343866,0.025722057764621168,0.016625330026402114,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
15,"Belleville (CMA), Ontario",99908,101013,101563,102621,103490,104194,104664,104767,104515,104415,104360,104718,104816,105079,105416,106282,107922,109626,111165,112980,"Belleville, Ontario",44.1627589,-77.3832315,1105,550,1058,869,704,470,103,-252,-100,-55,358,98,263,337,866,1640,1704,1539,0.008840707256580526,0.004400352028162253,0.008464677174173934,0.0069525562044963594,0.005632450596047684,0.003760300824065925,0.0008240659252740219,-0.0020161612929034322,-0.0008000640051204096,-0.0004400352028162253,0.0028642291383310665,0.0007840627250180014,0.0021041683334666775,0.0026962156972557805,0.006928554284342747,0.013121049683974718,0.01363309064725178,0.012312985038803105,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
16,"Peterborough (CMA), Ontario",115316,116673,117799,118722,119775,120631,120672,121059,121064,121921,122159,122458,122909,122705,123158,124845,127162,130256,131065,131939,"Peterborough, Ontario",44.309058,-78.31974699999999,1357,1126,923,1053,856,41,387,5,857,238,299,451,-204,453,1687,2317,3094,809,0.010856868549483959,0.009008720697655813,0.007384590767261381,0.008424673973917914,0.0068485478838307065,0.00032802624209936793,0.0030962476998159854,4.000320025602048e-05,0.006856548523881911,0.001904152332186575,0.002392191375310025,0.0036082886630930473,-0.0016321305704456357,0.0036242899431954555,0.013497079766381311,0.01853748299863989,0.024753980318425475,0.006472517801424114,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
17,"Oshawa (CMA), Ontario",308611,315181,322922,330515,337654,344313,347901,352767,357274,362506,367052,372288,376783,380948,385258,391942,398742,405765,414422,423036,"Oshawa, Ontario",43.8970929,-78.86579119999999,6570,7741,7593,7139,6659,3588,4866,4507,5232,4546,5236,4495,4165,4310,6684,6800,7023,8657,0.05256420513641091,0.06193295463637091,0.0607488599087927,0.05711656932554604,0.05327626210096808,0.028706296503720297,0.03893111448915913,0.03605888471077686,0.04185934874789983,0.03637090967277382,0.041891351308104646,0.03596287703016241,0.03332266581326506,0.034482758620689655,0.05347627810224818,0.05440435234818786,0.05618849507960637,0.06926154092327386,"[131, 237, 131]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]"
18,"Toronto (CMA), Ontario",4882618,5002533,5081464,5162061,5241407,5334382,5415765,5501325,5588312,5681126,5768001,5852841,5931697,5998737,6045240,6125013,6217328,6337780,6462770,6555205,"Toronto, Ontario",43.653226,-79.3831843,119915,78931,80597,79346,92975,81383,85560,86987,92814,86875,84840,78856,67040,46503,79773,92315,120452,124990,0.9593967517401392,0.6314985198815906,0.6448275862068965,0.6348187855028402,0.7438595087607008,0.6511160892871429,0.6845347627810224,0.6959516761340907,0.742571405712457,0.6950556044483559,0.6787743019441556,0.6308984718777502,0.5363629090327227,0.3720537643011441,0.6382350588047043,0.7385790863269062,0.9636930954476358,1.0,"[0, 128, 0]","[10, 210, 10]","[8, 199, 8]","[8, 199, 8]","[5, 176, 5]","[8, 199, 8]","[6, 188, 6]","[6, 188, 6]","[5, 176, 5]","[6, 188, 6]","[8, 199, 8]","[10, 210, 10]","[13, 221, 13]","[38, 236, 38]","[8, 199, 8]","[5, 176, 5]","[0, 128, 0]","[0, 128, 0]"
19,"Hamilton (CMA), Ontario",689178,697790,705420,712186,717717,719331,721376,725665,730354,736875,741956,747678,752450,756928,761279,768982,777572,785214,795176,804691,"Hamilton, Ontario",43.2557206,-79.8711024,8612,7630,6766,5531,1614,2045,4289,4689,6521,5081,5722,4772,4478,4351,7703,8590,7642,9962,0.06890151212096968,0.06104488359068726,0.05413233058644692,0.04425154012320986,0.012913033042643412,0.016361308904712376,0.034314745179614366,0.03751500120009601,0.05217217377390191,0.04065125210016801,0.04577966237298984,0.03817905432434595,0.035826866149291946,0.034810784862789025,0.06162893031442515,0.0687254980398432,0.061140891271301706,0.07970237619009521,"[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]"
20,"St. Catharines - Niagara (CMA), Ontario",391844,394502,396817,399702,401750,404032,402845,401785,401517,402182,402623,404504,405870,407835,410971,416384,422407,428383,434090,437114,"St. Catharines - Niagara, Ontario",43.1593745,-79.2468626,2658,2315,2885,2048,2282,-1187,-1060,-268,665,441,1881,1366,1965,3136,5413,6023,5976,5707,0.02126570125610049,0.018521481718537482,0.023081846547723817,0.016385310824865988,0.018257460596847748,-0.009496759740779263,-0.008480678454276342,-0.002144171533722698,0.005320425634050724,0.0035282822625810066,0.015049203936314905,0.010928874309944795,0.01572125770061605,0.025090007200576046,0.04330746459716777,0.048187855028402275,0.04781182494599568,0.045659652772221775,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[255, 203, 202]","[255, 203, 202]","[255, 203, 202]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
21,"Kitchener - Cambridge - Waterloo (CMA), Ontario",446937,455446,462451,471321,479252,488325,492486,497508,501631,506907,512547,517359,521494,525299,530170,542034,553526,567853,581954,593882,"Kitchener - Cambridge - Waterloo, Ontario",43.4516395,-80.4925337,8509,7005,8870,7931,9073,4161,5022,4123,5276,5640,4812,4135,3805,4871,11864,11492,14327,14101,0.06807744619569565,0.056044483558684695,0.07096567725418033,0.0634530762460997,0.07258980718457476,0.033290663253060244,0.040179214337146975,0.03298663893111449,0.04221137691015281,0.045123609888791105,0.03849907992639411,0.03308264661172894,0.030442435394831588,0.038971117689415156,0.0949195935674854,0.09194335546843747,0.11462517001360109,0.11281702536202896,"[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[118, 236, 118]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[118, 236, 118]","[118, 236, 118]","[105, 236, 105]","[105, 236, 105]"
22,"Brantford (CMA), Ontario",128519,129761,131352,132978,134868,135499,136502,136995,137724,138488,139372,139847,140675,141413,142287,143871,145652,147361,149462,151566,"Brantford, Ontario",43.1393867,-80.2644254,1242,1591,1626,1890,631,1003,493,729,764,884,475,828,738,874,1584,1781,1709,2101,0.009936794943595487,0.012729018321465717,0.013009040723257861,0.015121209696775741,0.005048403872309785,0.008024641971357709,0.00394431554524362,0.005832466597327786,0.006112488999119929,0.007072565805264421,0.003800304024321946,0.006624529962396992,0.005904472357788623,0.00699255940475238,0.012673013841107288,0.014249139931194496,0.0136730938475078,0.016809344747579807,"[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]","[131, 237, 131]"
