When,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
01/01/1946,,,12188000,,,,,,,,
04/01/1946,,,12241000,,,,,,,,
07/01/1946,,,12316000,,,,,,,,
10/01/1946,,,12393000,,,,,,,,
01/01/1947,,,12450000,,,,,,,,
04/01/1947,,,12507000,,,,,,,,
07/01/1947,,,12576000,,,,,,,,
10/01/1947,,,12646000,,,,,,,,
01/01/1948,,,12710000,,,,,,,,
04/01/1948,,,12773000,,,,,,,,
07/01/1948,,,12852000,,,,,,,,
10/01/1948,,,12930000,,,,,,,,
01/01/1949,,,12998000,,,,,,,,
04/01/1949,,,13399000,,,,,,,,
07/01/1949,,,13475000,,,,,,,,
10/01/1949,,,13548000,,,,,,,,
01/01/1950,,,13607000,,,,,,,,
04/01/1950,,,13663000,,,,,,,,
07/01/1950,,,13737000,,,,,,,,
10/01/1950,,,13807000,,,,,,,,
01/01/1951,,,13870000,,,,,,,,
04/01/1951,,,13937000,,,,,,,,
07/01/1951,943000,1168000,14050000,778000,517000,362000,643000,4615000,99000,4066000,834000
10/01/1951,950000,1179000,14163000,784000,519000,365000,646000,4665000,99000,4095000,836000
01/01/1952,959000,1189000,14277000,789000,521000,368000,647000,4717000,100000,4126000,836000
04/01/1952,965000,1198000,14376000,794000,524000,371000,651000,4757000,100000,4153000,838000
07/01/1952,977000,1209000,14496000,799000,527000,375000,654000,4802000,100000,4183000,845000
10/01/1952,985000,1222000,14598000,802000,529000,377000,657000,4841000,101000,4209000,850000
01/01/1953,994000,1233000,14682000,804000,530000,379000,660000,4876000,101000,4228000,852000
04/01/1953,1002000,1242000,14763000,806000,532000,382000,662000,4907000,101000,4249000,855000
07/01/1953,1016000,1253000,14886000,810000,533000,384000,664000,4956000,101000,4281000,863000
10/01/1953,1029000,1265000,15001000,814000,535000,387000,667000,5002000,101000,4310000,866000
01/01/1954,1039000,1278000,15105000,816000,537000,390000,668000,5047000,101000,4337000,867000
04/01/1954,1047000,1288000,15199000,819000,538000,393000,670000,5082000,101000,4365000,869000
07/01/1954,1061000,1299000,15330000,825000,541000,396000,674000,5130000,101000,4402000,874000
10/01/1954,1070000,1311000,15444000,830000,543000,399000,676000,5174000,101000,4436000,877000
01/01/1955,1078000,1323000,15535000,833000,544000,401000,678000,5208000,100000,4465000,877000
04/01/1955,1084000,1334000,15620000,837000,546000,404000,681000,5236000,100000,4492000,877000
07/01/1955,1094000,1347000,15736000,841000,548000,407000,684000,5278000,100000,4529000,879000
10/01/1955,1102000,1362000,15834000,844000,550000,410000,688000,5311000,100000,4557000,880000
01/01/1956,1109000,1377000,15919000,845000,552000,412000,690000,5344000,100000,4581000,879000
04/01/1956,1118000,1388000,16004000,848000,553000,414000,693000,5375000,99000,4606000,879000
07/01/1956,1126000,1405000,16123000,850000,556000,416000,695000,5423000,99000,4641000,881000
10/01/1956,1136000,1426000,16235000,852000,557000,418000,695000,5470000,99000,4671000,880000
01/01/1957,1144000,1449000,16352000,851000,558000,420000,695000,5529000,99000,4702000,874000
04/01/1957,1153000,1468000,16479000,856000,560000,422000,698000,5580000,99000,4737000,875000
07/01/1957,1169000,1490000,16677000,863000,563000,425000,701000,5668000,99000,4786000,882000
10/01/1957,1179000,1511000,16810000,863000,565000,427000,702000,5722000,99000,4825000,884000
01/01/1958,1191000,1524000,16907000,868000,567000,428000,705000,5759000,99000,4849000,884000
04/01/1958,1198000,1532000,16997000,872000,569000,430000,707000,5789000,100000,4879000,888000
07/01/1958,1211000,1540000,17120000,877000,572000,433000,710000,5835000,100000,4915000,894000
10/01/1958,1221000,1548000,17225000,881000,574000,435000,713000,5874000,101000,4947000,898000
01/01/1959,1233000,1556000,17318000,883000,577000,437000,716000,5907000,101000,4974000,900000
04/01/1959,1241000,1562000,17406000,888000,580000,439000,718000,5938000,101000,5002000,903000
07/01/1959,1252000,1570000,17522000,892000,583000,441000,720000,5985000,102000,5035000,908000
10/01/1959,1263000,1580000,17624000,896000,584000,443000,722000,6020000,102000,5068000,912000
01/01/1960,1274000,1589000,17710000,900000,585000,445000,722000,6054000,103000,5092000,911000
04/01/1960,1282000,1596000,17793000,903000,587000,447000,725000,6083000,103000,5119000,912000
07/01/1960,1296000,1605000,17909000,908000,589000,449000,728000,6127000,103000,5152000,916000
10/01/1960,1307000,1614000,18009000,911000,591000,452000,731000,6158000,104000,5187000,918000
01/01/1961,1317000,1621000,18092000,916000,593000,454000,732000,6187000,104000,5212000,919000
04/01/1961,1325000,1626000,18172000,919000,596000,456000,735000,6214000,104000,5238000,922000
07/01/1961,1335000,1632000,18271000,923000,599000,459000,738000,6248000,105000,5268000,926000
10/01/1961,1345000,1640000,18363000,927000,600000,462000,740000,6275000,106000,5300000,929000
01/01/1962,1356000,1648000,18442000,930000,602000,464000,742000,6303000,107000,5324000,927000
04/01/1962,1363000,1655000,18519000,933000,604000,466000,744000,6330000,107000,5350000,928000
07/01/1962,1373000,1663000,18614000,937000,605000,469000,746000,6362000,107000,5381000,931000
10/01/1962,1382000,1674000,18708000,940000,607000,471000,748000,6395000,107000,5413000,931000
01/01/1963,1391000,1686000,18787000,944000,607000,473000,747000,6427000,107000,5437000,928000
04/01/1963,1398000,1694000,18864000,947000,608000,474000,749000,6455000,108000,5461000,930000
07/01/1963,1407000,1702000,18964000,950000,609000,477000,751000,6497000,108000,5489000,933000
10/01/1963,1414000,1716000,19061000,953000,609000,479000,752000,6535000,109000,5518000,935000
